ID	X_longitud	Y_Latitude	geo	prefecture	sous_prefecture	commune	Village	ONG	Start	Month	End	Catastrophe naturelle	Violences	Autre	Deplacement de IDPs	Retours	Communaute hoste	Autre	Oui	Non - logistique	Non - securite	Non - autre	Neant	Mission exploratoire	MSA	Intervention	Post Intervention	Autre	Axe	update_me0ge_IDPs	update_ind_idps	update_menage_benef	update_ind_benef	Score_NFI	Proportion_des_menages_qui_habitentdans_un_abri_en_mauvais_etat_nerepondant_pas_aux_standards_locaux	nhabitent_pas_dans_leurs_propres_maisons	familles_daccueil	Pas_dabris	Nombre_moyen_de_m?tre_carre_parpersonne_habitant_un_m?me_abri	Taux_de_diarrhee_chez_les_enfants_de_moins_de_5_ans_au_cours_des_2_dernieres_semaines	latrines_hygieniques	latrines	latrines_non_hygieniques	_lavage_desmains	3_moments_cles	source_deau_?_boire_salubre	acc?s_facile	CSA_General	CSA_Acceptable	Limite	Pauvre	Indice_simplifie_de_strategie_de_survie	1_semaine_et_moins	2_semaines	3_semaines	4_semaines	Plus_de_4_semaines	1_repas	2_repas	3_repas	Variation_repas	Propre_production	Achat_au_Marche	Dons	Aide_alimentaire	Autres	Vente_produit_agricole	Travail_journalier	Petit_commerce_nonagricole	Exploitation_mini?re	Vente_produit_animauxet_de_p?che	Autre	Indice_securite	Proportion_de_cas_de_violences_sexuellessurvenus_dans_un_contexte_lie_?_l’eau_et_?l’assainissement	%_d’ecole_fonctionnelle_dans_la_localite	%_de_salles_de_classe_avec_toiture_ou_mur	Proportion_d’enseignants_qui_encadrent_plus_de55_el?ves	Non_scolarises_%	Taux_de_frequentation	Taux_de_mortalite_des_moins_de_5_ans_pour10.000_enfants_par_jour_(dec?s_10.000_jour)	Taux_brut_de_mortalite_pour_10.000	Diarrhees	Palu	Fi?vre	Toux	IRA	Diarrhees	Palu	Fi?vre	Toux	Malnutrition	diarrhee	paludisme	_IRA	ARV	Medicaments_pour_la_TB	Kwashiorkor	Marasme	Nb_de_guerisons	Nb_dabandons	Nb_de_dec?s	Transfer_UNTA	Violence	Status
DRC_2014_02	18.710894	7.257593	"7.257593,18.710894"	Ouham	Kabo	Ouaki	Bogama 2	DRC	20-08-14	08-2014	20-08-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	TRUE				105.00	527.00	0	0	4.2	16	0	43	0	2.2	22	0	0	42	0	0	66	0	29	30.7	20.8	48.5	0	74	10	4	7	5	0	0	0	0	23	53	0	0	24	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	22	0	26	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Violence	Intervention
IRC_2014_01	15.689212	6.883931	"6.883931,15.689212"	Ouham Pende	Bocaranga	Pende	Bolele	IRC	12-06-14	06-2014	13-06-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	TRUE				0.00	0.00	1334	1727	4	80	0	0	0	1.6	33	0	0	0	16	0	56	0	0	43	36	21	18.4	84	1	2	1	12	0	0	0	0	9	67	0	0	10	0	0	0	0	0	0	0	18	50	13	83	0	0	2.5	0.6	33	 	36	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Violence	Intervention
IRC_2014_08	19.191543	6.990379	"6.990379,19.191543"	Nana-Gribizi	Kaga-Bandoro	Kaga-Bandoro	Kaga-Bandoro	IRC	01-05-14	05-2014	01-05-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	TRUE				3700.00	18500.00	2661	13305	4.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2	0.5	18/26	 	35/27	18/21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Violence	Intervention
IRC_2014_09	15.453221	6.951955	"6.951955,15.453221"	Ouham Pende	Koui	Koui	Koui	IRC	31-07-14	07-2014	31-07-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	TRUE				2006.00	10029.00	0	0	4	66	0	0	0	1.2	32	0	60	0	0	0	0	38	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	56	53	0	40	0	0	0	0	0	0	0	0	0	0	0	0	Violence	Intervention
IRC_2014_12	17.282323	6.986891	"6.986891,17.282323"	Ouham	Nana-Bakassa	Nana-Bakassa	Nana-Bakassa	IRC	29-09-14	09-2014	29-09-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	TRUE				0.00	0.00	0	0	4.3	5	0	0	0	3.6	4	4	60	0	0	0	92	49	16	18	17	65	0	92	5	2	1	0	77	21	2	0	30	32	11	9	18	0	0	0	0	0	0	4	10	0	0	0	0	0	ND	0	55	45	14	7	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Violence	Intervention
IRC_2014_13	15.592088	7.47827	"7.47827,15.592088"	Ouham Pende	Ngaoundaye	Lim	Kollo	IRC	26-05-14	05-2014	26-05-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	TRUE				520.00	2600.00	0	0	3.4	8	0	0	0	1.4	27	17	75	0	25	0	2	0	0	66.7	33.3	0	19.4	85	6	0	8	0	0	0	0	0	17	68	3	2	0	0	0	0	0	0	0	0	Oui	100	0	0	0	0	0	0	27	0	33	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Violence	Intervention
IRC_2014_14	15.896256	6.771014	"6.771014,15.896256"	Ouham Pende	Bocaranga	Pende	Ngoutere	IRC	19-05-14	05-2014	19-05-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	TRUE				13.00	65.00	13	67	4.7	92/37	0	0	0	2/2.8	18/26	0	0	0/54	0/22	0	0/66	0	0	7.7/47.5	30.8/42.4	61.5/10.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oui	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Violence	Intervention
IRC_2014_17	19.191543	6.990379	"6.990379,19.191543"	Nana-Gribizi	Kaga-Bandoro	Kaga-Bandoro	Kaga-Bandoro	IRC	25-08-14	08-2014	26-08-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	TRUE				661.00	3635.00	0	0	4.3	11	0	0	0	1.6	40	1	63	0	49	0	75	52	0	14	22	64	0	100	0	0	0	0	98	0	0	0	2	54	31	6	7	0	0	0	0	0	0	2	10	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Violence	Intervention
IRC_2014_99	15.60402	7.478507	"7.478507,15.60402"	Ouham Pende	Ngaoundaye	Lim	Ngaounday	IRC	04-08-14	08-2014	07-08-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	TRUE				0.00	0.00	0	0	3.7	85	0	0	0	1.3	38	0	0	67	0	0	90	66	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	30.13	0	0	0	0	0	0	0	22	0	40	12	0	0	0	0	0	0	0	0	0	0	0	0	Violence	Intervention
PU - AMI_2014_01	15.229919	4.697984	"4.697984,15.229919"	Mambere-Kadei	Amada-Gaza	Haute-Boumbe	Zaorodinga	PU - AMI	24-07-14	07-2014	25-07-14	FALSE	TRUE		TRUE				Oui					FALSE	TRUE	TRUE				298.00	1491.00	0	0	4	0	0	19	0	4.4	21	1	0	0	46	6	28	19	0	59	40	1	0	97	0	3	 	0	0	0	0	0	0	0	0	0	0	73	0	9	6	5	7	0	0	0	0	0	0	0	0.3	0	21	0	40	26	0	15	0	22	29	0	82	56	73	0	0	0	0	0	0	0	0	Violence	Intervention
