SiteId,DateCreated,startDate,endDate,Partner,OCHA_village_v2,year,AlerteID,Nb_localites_affectes,Choc_description,Pop_affectee_menages,Pop_affectee_individus,Date_rapport_CoPil,Nature_Choc_Violence,Nature_Choc_Catastrophe_naturelle,Nature_Choc_Autre,Type_pop_Deplaces,Type_pop_Communaute_hote,Type_pop_Retours,Type_pop_Repatries,Autre,Statut_MEX_Complete,Statut_MEX_Prevu,Statut_MEX_En_cours,Statut_MEX_En_attente,Statut_MEX_Annule,Delais_INT_Disponibilité_resources,Delais_INT_Coordination_humanitaire,Delais_INT_Defaillance_BD,Delais_INT_Intervention_multiple,Delais_INT_Autre,Delais_INT_NA,Delais_EXT_Necessite_reevaluer,Delais_EXT_Acces logistique,Delais_EXT_Suspension_logistique,Delais_EXT_Acceptance_parties_prenantes,Delais_EXT_EquipeRRM_cible_pendant_MEX,Delais_EXT_Acces_securitaire,Delais_EXT_Suspension_securitaire,Delais_EXT_NA,Delais_EXT_Autre,Annulation_Conversion_MSA,Annulation_NA,Annulation_Autre,Statut_rapport_MEX_En_cours,Statut_rapport_MEX_Envoye_CoPil,Proposition_Action_MSAcomplete,Proposition_Action_Eval_sectorielle,Proposition_Action_Monitoring_protection,Proposition_Action_Rehabilitation_acces_log,Proposition_Action_Plaidoyer_acces_securitaire,Proposition_Action_Suivi_retour_deplaces,Proposition_Action_Intervention_directe,Proposition_Action_Pas_daction,Proposition_Action_Autre,CodePrefecture,Prefecture,CodeSousPrefecture,SousPrefecture,CodeCommune,Commune,CodeArrondissement,Arrondissement,Longitude,Latitude,year,month
436052509,20.03.2015,11.03.2015,14.03.2015,ACTED,Andjikapa,,ACTED_AND_20150308,,,41,204,2015/03/15,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,,Basse-Kotto,,Zangba,,,,,20.750833,4.744444,2015,Mars
293760002,20.03.2015,12.03.2015,12.03.2015,ACTED,Goussoubanda,,ACTED_GOU_20150312,,,85,410,2015/03/15,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,,Ouaka,,Bambari,,Pladama-Ouaka,,,20.559548,5.895595,2015,Mars
2027529108,20.03.2015,12.03.2015,12.03.2015,ACTED,Togo,,ACTED_TOG_20150312,,,203,1016,2015/03/15,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,,Ouaka,,Bambari,,Pladama-Ouaka,,,20.572740,5.880615,2015,Mars
783922475,20.03.2015,12.03.2015,12.03.2015,DRC,Mbada,,DRC_MBA_20150110,,,273,1248,,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,,Ouham,,Bouca,,Lady Gbawi,,,18.562368,6.865547,2015,Mars
1610273571,27.03.2015,18.03.2015,18.03.2015,PU-AMI,Dédé Makbouba,,PU_DED_20150312,2,,60,300,2015/03/24,Oui,Non,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,,Mambere-Kadei,,Dede-Mokouba,,,,,15.242819,3.916667,2015,Mars
1378311603,31.03.2015,19.03.2015,19.03.2015,ACTED,Goussiéma,,ACTED_GOU_20150319,,,520,2600,27/03/15,Oui,Non,Non,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,,Ouaka,,Kouango,,Kouango,,,20.126750,5.395833,2015,Mars
80853174,25.03.2015,19.03.2015,19.03.2015,PU-AMI,Mbandjifolo,,PU_MBA_20150318,5,,180,900,2015/03/24,Oui,Non,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,,Mambere-Kadei,,Dede-Mokouba,,,,,15.255556,4.075833,2015,Mars
1347553029,24.03.2015,20.03.2015,20.03.2015,SI,Dere 1,,SI_DER_20150228,,,,1846,2015/03/23,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,,Nana-Gribizi,,Kaga-Bandoro,,Ndenga,,,19.218654,6.822976,2015,Mars
236083802,31.03.2015,26.03.2015,26.03.2015,SI,Grevai,,SI_MBR_20141216,2,,47,261,2015/03/31,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,,Nana-Gribizi,,Kaga-Bandoro,,,,,19.427128,7.064633,2015,Mars
1994431683,30.03.2015,27.03.2015,27.03.2015,ACF,Bokoute 1,,ACF_BOK_20150327,,,6,30,,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,,Kemo,,Sibut,,Ngoumbele,,,19.486982,5.788886,2015,Mars
