DateCreated,startDate,endDate,AlerteID,Partner,OCHA_village_v3,Prefecture,SousPrefecture,Commune,Latitude,Longitude,year,NFI_WASH,Code_Prefecture,TOTAL_individus_beneficiaires_NFI,TOTAL_individus_beneficiaires_WASH
13.04.2015,02.04.2015,16.05.2015,PU_AMA_20150213,PU-AMI,Amada Gaza,Mambere-Kadei,Amada-Gaza,,4.768658,15.209111,2015,NFI,,1808,1300
06.12.2016,05.10.2016,05.10.2016,SI_MOY_20160729,SI,Moyenne Sido,Ouham,Kabo,Sido,8.225083,18.711433,2016,NFI-WASH,,586,1301
08.03.2016,01.02.2016,13.03.2016,PU_MBA_20160112,PU-AMI,Mbandjifolo,Mambere-Kadei,Dede-Mokouba,,4.075833,15.255556,2016,WASH,,,1406
26.06.2018,05.06.2018,14.06.2018,ACF_GOU_20180511,ACF,Gouze,Ouham Pende,Paoua,Banh,7.05699,16.369279,2018,NFI-WASH,,6865,1414
04.04.2017,22.03.2017,24.03.2017,ACF_Boc_20170202,ACF,Bocaranga,Ouham Pende,Koui,Koui,6.996461,15.638319,2017,WASH,,,1427
09.02.2016,09.01.2016,26.01.2016,ACF_Mar_20151023,ACF,Marali,Ouham,Bouca,,6.036561,18.404156,2016,NFI-WASH,,1502,1502
04.12.2019,05.11.2019,05.11.2019,SOL_KAB_20191030,SI,Kabo,Ouham,Kabo,Sido,7.689,18.622999,2019,NFI-WASH,,1563,1563
01.03.2019,14.02.2019,14.02.2019,SOL_BAM_20190122,SI,Bamatara,Ouham,Kaga-Bandoro,Botto,7.0047,19.0508,2019,NFI-WASH,,1614,1614
10.10.2015,24.09.2015,27.09.2015,ACF_SAB_20150820,ACF,Minime,Nana-Mambere,Bouar,Niem-Yelewa,6.722684,15.179215,2015,NFI-WASH,,1620,1621
01.08.2015,16.07.2015,20.07.2015,SI_BI2_20150516,SI,Kaga-Bandoro,Nana-Gribizi,Kaga-Bandoro,Kaga-Bandoro,6.992369,19.185733,2015,NFI-WASH,,1630,1630
24.03.2015,30.01.2015,01.02.2015,ACF_BON_20141216,ACF,Bondiba,Nana-Mambere,Baboua,Baboua,5.535135,14.794725,2015,NFI-WASH,,1695,1695
04.02.2019,10.01.2019,10.01.2019,ACT_ALI_20181115,ACTED,Pavika,Basse-Kotto,Alindao,Guiligui,5.040924,21.212063,2019,NFI-WASH-Autre,,3996,1707
03.10.2018,12.09.2018,12.09.2018,ACT_MBA_20180724,ACTED,Grimari,Ouaka,Grimari,Grimari,5.3935,20.1318,2018,NFI-WASH,,1326,1740
26.05.2015,26.05.2015,31.05.2015,ACTED_KPA_20150505,ACTED,Kpadou,Basse-Kotto,Kembe,Mboui,4.531658,21.375632,2015,NFI-WASH,,8775,1755
02.05.2017,13.04.2017,21.04.2017,ACF_Mak_20170330,ACF,Makounzi Wali,Ouham Pende,Koui,Koui,6.78566,15.094831,2017,NFI-WASH,,1809,1809
10.02.2016,11.01.2016,16.01.2016,ACF_Mar_20150609,ACF,Marzé,Ouham,Bouca,,6.847689,18.778981,2016,NFI-WASH,,1876,1876
24.03.2015,03.03.2015,06.03.2015,ACF_GBA_20150218,ACF,Gbabiro,Ouham,Bossangoa,Ben Zambe,6.849218,17.69758,2015,NFI-WASH,,1892,1892
10.10.2019,19.08.2019,19.08.2019,SOL_BOZ_20190723,ACF,Bozakon,Ouham,Bouca,Lady Gbawi,6.952119,18.504728,2019,NFI-WASH,,2359,1933
31.07.2018,17.07.2018,19.07.2018,ACT_OUA_20180514,ACTED,Ouazzoua,Mbomou,Ouango,Ouango,4.273589,22.4272,2018,NFI-WASH,,3179,1975
19.05.2015,16.05.2015,26.06.2015,ACF_BOW_20150417,ACF,Bowara,Ouham,Nana-Bakassa,Nana-Bakassa,7.169761,17.384206,2015,NFI-WASH,,1998,1998
11.07.2017,22.04.2017,02.06.2017,ACT_BAK_20170326,ACTED,Bakouma,Mbomou,Bakouma,Bakouma,5.711727,22.78416,2017,WASH,,,2000
03.05.2017,16.03.2017,28.03.2017,SI_BOT_20170221,SI,Botto,Nana-Gribizi,Kaga-Bandoro,Botto,6.975222,19.100667,2017,WASH,,0,2000
03.10.2018,22.09.2018,22.09.2018,SOL_MBR_20180628,ACTED,Wandalongo,Ouaka,Bakala,Koudou-Bego,6.665687,19.776846,2018,NFI-WASH,,1118,2035
24.03.2015,05.03.2015,05.03.2015,ACF_SAB_20150204,ACF,Sabewa,Nana-Mambere,Bouar,Niem-Yelewa,6.668017,14.982606,2015,NFI-WASH,,2041,2041
05.12.2017,06.11.2017,25.11.2017,SI_BAM_20171030,SI,Bamatara,Nana-Gribizi,Kaga-Bandoro,Ndenga,6.842788,19.21151,2017,NFI-WASH,,2506,2048
06.04.2015,22.05.2015,27.05.2015,DRC_BOK_20150209,DRC,Bokaioua,Ouham,Kabo,Ouaki,7.279787,18.538442,2015,WASH,,,2065
07.12.2015,09.11.2015,25.11.2015,PU_NOL_20151106,PU-AMI,Nola,Sangha-Mbaere,Nola,Nola,3.524026,16.04494,2015,NFI-WASH,,2499,2108
13.09.2016,28.08.2016,30.08.2016,ACT_MBA_20160629,ACTED,Mbata 2,Basse-Kotto,Kembe,Mboui,4.584679,21.688204,2016,NFI-WASH,,2313,2126
09.03.2018,23.01.2018,28.02.2018,ACT_NDA_20171219,ACTED,Ndassima,Ouaka,Bambari,Danga-Gboudou,6.139213,20.777774,2018,WASH,,0,2127
25.08.2016,03.08.2016,07.08.2016,ACT_BAN_20160608,ACTED,Banga 2,Ouaka,Kouango,Kouango,5.137364,19.977348,2016,NFI-WASH,,2132,2132
01.08.2019,17.07.2019,17.07.2019,SOL_BEH_20190611,SI,Behili 1,Ouham,Kabo,Sido,7.8569,18.1108,2019,NFI-WASH,,3528,2169
17.02.2017,28.01.2017,29.01.2017,ACT_POU_20161230,ACTED,Poudjo,Basse-Kotto,Alindao,Yambele-Ewou,5.364255,21.021352,2017,NFI,,3600,2219
01.12.2018,01.02.2019,01.02.2019,SOL_SCI_20180810,SI,Scieurs,Nana-Gribizi,Mbres,Mbres,6.5431,19.826799,2018,NFI-WASH,,1994,2250
10.10.2016,24.08.2016,25.09.2016,PU_DIL_20160710,PU-AMI,Noufou,Mambere-Kadei,Gamboula,,4.592044,14.810714,2016,WASH,,,2300
11.04.2017,18.03.2017,19.03.2017,ACT_MBR_20161219,ACTED,Ippy,Ouaka,Ippy,Ippy,6.260115,21.1966,2017,NFI-WASH,,2445,2310
13.07.2018,07.06.2018,09.06.2018,ACF_BON_20180326,ACF,Bondoro-Kota,Ouham,Markounda,Nana Markounda,7.029308,17.071644,2018,WASH,,0,2395
13.02.2020,31.01.2020,31.01.2020,ACF_GBO_20191230,ACF,Deko Mbimbi,Kemo,Ndjoukou,Galabadja,5.15066,19.610495,2020,WASH,,,2408
24.03.2015,10.03.2015,14.03.2015,ACF_GBB_20150220,ACF,Bofire,Ouham,Bossangoa,Ben Zambe,6.71861,17.766026,2015,NFI-WASH,,3333,2528
22.03.2017,22.02.2017,03.03.2017,SI_BEK_20161205,SI,Bekondja,Ouham,Kabo,Sido,7.938928,17.976794,2017,WASH,,2540,2540
25.07.2016,18.07.2016,26.07.2016,ACT_DEM_20160319,ACTED,Dembia,Mbomou,Rafai,Rafai,5.102711,24.463914,2016,NFI,,4727,2592
