"type","id","locationName","partnerName","activity","activityName","startDate","endDate","Population_affectee_total_menages","Nombre_de_localités.villages.sites_afféctés","Population_affectee_total_individus","Acces_humanitaire.Oui","Acces_humanitaire.Non_securite","Acces_humanitaire.Non_logistique","Acces_humanitaire.Non_autre","Continue_Investigation.Non","Continue_Investigation.Oui","Alerte_en_cours.Non","Alerte_en_cours.Oui","Nature_du_choc.Violences","Nature_du_choc.Catastrophe_naturelle","Nature_du_choc.Autre","Population_affectee.Deplaces","Population_affectee.Communaute_hote","Population_affectee.Retours","Population_affectee.Autre","type.1","geo","X","Y","month","year","REGION_NOM","PREF_NOM","SPREF_NOM","COM_NOM","acces","continu","alerte_cours","nature","pop_affect"
"Feature","763353279","Kpadou","ACTED","16228","ALERTES","2015-05-05","2015-05-05","0","0","65","Non - logistique",NA,NA,NA,NA,"Oui","0","Oui",NA,NA,"1","Non","Non","Non","Oui","Point","4.531658,21.375632","21.375632","4.531658","2015-05","2015","Haut-Oubangui","Basse-Kotto","Kembé","Mboui","Non - logistique","Oui","Oui","NA","Non Non Non Oui"
"Feature","770517945","Boy bale","PU-AMI","16228","ALERTES","2015-03-13","2015-03-13","0","6","0",NA,NA,"Non - sécurité",NA,NA,"Oui","0","Oui",NA,NA,"1","Non","Non","Oui","Non","Point","5.225732,16.757124","16.757124","5.225732","2015-03","2015","Equateur","Mambéré-Kadéï","Gadzi","Mbali","Non - sécurité","Oui","Oui","NA","Non Non Oui Non"
"Feature","770634371","Nassole","PU-AMI","16228","ALERTES","2015-02-11","2015-04-13","0","8","0","Non - logistique",NA,NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Oui","Non","Non","Non","Point","4.258509,15.375248","15.375248","4.258509","2015-02","2015","Equateur","Mambéré-Kadéï","Berbérati","Ouakanga","Non - logistique","Oui","Oui","Violence","Non Oui Non Non"
"Feature","815704799","Ndoubou","DRC","16228","ALERTES","2015-04-22","2015-04-22","234","1","1170","Non - logistique",NA,NA,NA,"Non",NA,"0","Oui","Violence",NA,"0","Oui","Oui","Oui","Non","Point","7.31413333333,18.32086666667","18.32086666667","7.31413333333","2015-04","2015","Yadé","Ouham","Batangafo","Ouassi","Non - logistique","Non","Oui","Violence","Oui Oui Oui Non"
"Feature","820870656","Gbabiro","ACF","16228","ALERTES","2015-02-18","2015-02-18","0","1","0","Non - logistique",NA,NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Oui","Non","Non","Non","Point","6.849218,17.69758","17.69758","6.849218","2015-02","2015","Yadé","Ouham","Bossangoa","Ben Zambé","Non - logistique","Oui","Oui","Violence","Non Oui Non Non"
"Feature","842390040","Bobani 2","DRC","16228","ALERTES","2015-02-25","2015-02-25","0","0","0",NA,NA,NA,"Non - autre","Non",NA,"1","Non","Violence",NA,"0","Oui","Non","Non","Non","Point","6.771083,16.592829","16.592829","6.771083","2015-02","2015","Yadé","Ouham Pendé","Paoua","Mom","Non - autre","Non","Non","Violence","Non Oui Non Non"
"Feature","847776525","Kouango","ACTED","16228","ALERTES","2015-01-12","2015-01-12","0","1","0",NA,NA,"Non - sécurité",NA,"Non",NA,"0","Oui","Violence",NA,"0","Non","Non","Non","Oui","Point","4.992821,19.973607","19.973607","4.992821","2015-01","2015","Kagas","Ouaka","Kouango","Kouango","Non - sécurité","Non","Oui","Violence","Non Non Non Oui"
"Feature","881249679","Besson","ACF","16228","ALERTES","2015-02-21","2015-02-21","85","3","381",NA,"Oui",NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Oui","Oui","Non","Non","Point","6.258945,14.816071","14.816071","6.258945","2015-02","2015","Equateur","Nana-Mambéré","Baboua","Goudrot","Oui","Oui","Oui","Violence","Oui Oui Non Non"
"Feature","883365798","Ngakobo","ACTED","16228","ALERTES","2015-02-08","2015-02-08","0","0","1000",NA,"Oui",NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Oui","Non","Non","Non","Point","5.339652,20.730846","20.730846","5.339652","2015-02","2015","Kagas","Ouaka","Bambari","Ngougbia","Oui","Oui","Oui","Violence","Non Oui Non Non"
"Feature","892270109","Agoumar","ACTED","16228","ALERTES","2015-03-05","2015-03-05","610","0","3050",NA,"Oui",NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Oui","Non","Non","Non","Point","4.993979,23.917023","23.917023","4.993979","2015-03","2015","Haut-Oubangui","Mbomou","Rafai","Rafai","Oui","Oui","Oui","Violence","Non Oui Non Non"
