DateCreated,startDate,endDate,Partner,year,AlerteID,Menage_deplaces,Individus_deplaces,Score_NFI,X_de_menages_vivant_ds_un_abris_en_dessous_des_standard,X_des_menages_ayant_acces_a_une_latrine_hygienique,X_des_menages_avec_un_source_eau_potable_amelioree,MSAcount,Recommandation_Intervention_NFI,Recommandation_Intervention_EAH,Recommandation_Intervention_Sante,Recommandation_Intervention_Protection,Recommandation_Securite_Alimentaire,Recommandation_Intervention_Education,Recommandation_Intervention_Logistique,OCHA_village_v2,Prefecture,SousPrefecture,Commune,Latitude,Longitude
21.03.2019,13.03.2019,14.03.2019,ACTED,2019,ACT_POU_20190221,1155,4390,3.9,44.3,0,0,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Mbo-Pouloubou,Basse-Kotto,Mingala,Kotto,5.1262,21.639299
21.03.2019,14.03.2019,16.03.2019,SI,2019,SOL_BAD_20190311,715,3579,4.2,9.7,0.7,75.9,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Badia,Nana-Gribizi,Kaga-Bandoro,Ndenga,6.7343,19.114599
19.03.2019,11.03.2019,14.03.2019,ACF,2019,ACF_BOG_20190207,1092,5460,4.2,1.7,50,36,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Samba Bougoulou,Nana-Mambere,Baoro,Yoro-Samba Bougoulou,5.3201,15.9884
19.02.2019,14.02.2019,15.02.2019,ACTED,2019,ACT_AGO_20190131,226,1130,4.5,8.8,74.3,28.3,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Krade,Ouaka,Bambari,Danga-Gboudou,5.8823,20.9126
19.02.2019,09.02.2019,10.02.2019,SI,2019,SOL_BAM_20190122,303,1515,4.2,1.6,96.8,24,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Bamatara,Nana-Gribizi,Kaga-Bandoro,Botto,7.0047,19.0508
18.02.2019,04.02.2019,07.02.2019,ACF,2019,ACF_ZAO _20190123,1770,88542,4.5,3.3,97,58,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Carnot,Mambere-Kadei,Carnot,Carnot,5.0412,16.215799
11.02.2019,01.02.2019,05.02.2019,ACF,2019,ACF_GBA_20190126,255,1276,4.1,5.3,88.6,7,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Bogale,Ouham,Markounda,Nana Markounda,7.549471,16.91363
03.02.2019,10.01.2019,15.01.2019,SI,2019,SOL_KPA_20181226,1621,12051,3.8,0.7,0,38.2,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Kpakaya,Nana-Gribizi,Kaga-Bandoro,Ndenga,6.8364,19.222383
30.01.2019,14.01.2019,23.01.2019,ACF,2019,ACF_BOC _20181226,6713,33567,0,0,40,100,,Non,Oui,Non,Non,Non,Non,Non,Bocaranga,Ouham Pende,Bocaranga,Bocaranga,6.9965,15.6383
16.01.2019,12.01.2019,14.01.2019,SI,2019,SOL_LAD_20190111,4171,20713,4.4,48.2,63.7,31.2,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Dawe,Ouham,Bouca,Lady Gbawi,7.036628,18.347197
12.01.2019,04.12.2018,13.12.2018,ACF,2019,ACF_YEL_20181110,1229,7374,4.2,4,61,17.5,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Yelowa,Nana-Mambere,Bouar,Niem-Yelewa,6.668,14.9826
12.01.2019,04.12.2018,13.12.2018,ACF,2019,ACF_YEL_20181110,1344,8064,4.3,20,28.5,5,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Sabewa,Nana-Mambere,Bouar,Niem-Yelewa,6.668,14.9826
02.12.2018,22.11.2018,25.11.2018,SI,2018,SOL_BAT_20181101,906,4530,4,19.8,3,7.5,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Bolhom 1,Ouham,Batangafo,Ouassi,7.301,18.285101
20.11.2018,02.11.2018,03.11.2018,SI,2018,SOL_SCI_20180810,487,2250,4.3,7.9,80,30,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Scieurs,Nana-Gribizi,Mbres,Mbres,6.5431,19.826799
16.10.2018,04.10.2018,07.10.2018,ACTED,2018,ACT_MAR_20180915,750,3756,4.2,35.2,0,51.6,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Bianga,Ouaka,Kouango,Cochio-Toulou,4.6611,20.603001
25.09.2018,12.09.2018,18.09.2018,ACTED,2018,ACT_ZAB_20180823,790,2544,4.7,23,0,29.2,,Oui,Oui,Oui,Non,Oui,Oui,Oui,Zabe,Mbomou,Bakouma,Bakouma,5.8664,22.2246
24.09.2018,29.08.2018,10.09.2018,ACF,2018,ACF_NAS _20180816,334,1670,4.1,5.5,17,55,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Nassole,Mambere-Kadei,Berberati,Ouakanga,4.2585,15.3752
18.09.2018,02.09.2018,03.09.2018,SI,2018,SOL_KAB_20180827,2188,10940,,79,,,,Oui,Non,Non,Non,Oui,Non,Non,Kabo,Ouham,Kabo,Sido,7.689,18.622999
03.09.2018,22.08.2018,26.08.2018,ACTED,2018,ACT_MBA_20180724,251,930,4,0.9,3.5,69,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Kouango,Ouaka,Kouango,Kouango,5.3935,20.1318
27.08.2018,08.08.2018,13.08.2018,ACF,2018,ACF_GAM _20180728,750,3750,4.2,4.2,51,58.7,,Oui,Oui,Oui,Non,Oui,Oui,Non,Gamboula,Mambere-Kadei,Gamboula,Basse-Boumne,4.1211,15.1374
20.08.2018,09.08.2018,11.08.2018,SI,2018,SOL_MBR_20180628,650,2795,4.2,7.6,64.4,48.3,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Kangou,Ouaka,Mbres,Mbres,6.669258,19.635924
20.08.2018,02.08.2018,04.08.2018,ACTED,2018,ACT_MBA_20180724,735,2058,4.5,83,85.3,57.8,,Oui,Oui,Non,Oui,Oui,Oui,Non,Mbata 1,Ouaka,Kouango,Azengue-Mindou,5.393533,20.131804
17.08.2018,01.08.2018,05.08.2018,ACF,2018,ACF_KOU _20180727,800,4000,4,4.4,49,67.5,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Geodi 2,Ouham Pende,Koui,Koui,6.934899,15.45952
31.07.2018,13.07.2018,14.07.2018,ACF,2018,ACF_KOR_20180508,4355,22489,4.1,2.5,88,97,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Boya,Ouham Pende,Paoua,Nana-Barya,7.267455,16.719336
26.07.2018,21.07.2018,22.07.2018,ACF,2018,ACF_BEM_20180626,6110,30549,4.1,1.8,86,100,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Bedi,Ouham Pende,Paoua,Bah-Bessar,7.51672,16.522195
10.07.2018,29.06.2018,02.07.2018,ACF,2018,ACF_GAD_20180509,1657,8320,4,0,0,92,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Kpetène,Ouham Pende,Paoua,Paoua,7.206806,16.317528
03.07.2018,25.06.2018,26.06.2018,ACTED,2018,ACT_BAM_20180609,220,1085,3.8,45,39,36,,Oui,Oui,Non,Non,Oui,Oui,Non,Atongo,Ouaka,Bambari,Pladama-Ouaka,5.761396,20.648109
03.07.2018,20.06.2018,21.06.2018,SI,2018,SOL_BOL_20180612,181,1086,4.4,66,42,71,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Banda,Ouham,Batangafo,Ouassi,7.044824,18.349792
03.07.2018,14.06.2018,15.06.2018,SI,2018,SOL_OUO_20180613,1064,6277,4.6,29,15,78,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Ouogo Centre,Ouham,Batangafo,Bakassa,7.53957,17.762112
03.07.2018,06.06.2018,11.06.2018,SI,2018,SOL_MAR_20180529,1360,6546,4.5,39,9,49,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Kozoro 2,Ouham,Bouca,Lady Gbawi,6.833451,18.505882
