SiteId,DateCreated,startDate,endDate,Partner,OCHA_village_v3,year,AlerteID,NFI_WASH,satisfaction_globale_qualite,satisfaction_globale_quantite,qualite_baches,qualite_bidons,qualite_nattes,qualite_couvertures,qualite_kits_cuisine,qualite_moustiquaires,qualite_savons,qualite_seaux,quantite_baches,quantite_bidons,quantite_nattes,quantite_couvertures,quantite_kits_cuisine,quantite_moustiquaires,quantite_savons,quantite_seaux,Code_Prefecture,Prefecture,SousPrefecture,Commune,Longitude,Latitude
2076332857,31.03.2015,03.02.2015,03.02.2015,ACF,Bogbatoyo,2015,ACF_BOG_20141118,NFI,11,,100,,83,72,94,,,,13,,33,44,72,,,,,Nana-Mambere,Bouar,Herman-Brousse,15.605226,6.299334
713012640,25.10.2016,29.09.2016,30.10.2016,ACTED,Mbata 2,2016,ACT_MBA_20160629,NFI,,,89,,90,89,84,,,,94,,91,100,76,,,,,Basse-Kotto,Kembe,Mboui,21.688204,4.584679
762119334,03.04.2015,28.02.2015,02.03.2015,SI,Kaga-Bandoro,2015,SI_MBR_20141216,NFI,,,,,84,41,100,,,,,,36,59,77,,,,,Nana-Gribizi,Kaga-Bandoro,Kaga-Bandoro,19.185733,6.992369
445686329,06.05.2016,03.03.2016,05.03.2016,ACF,Bocaranga,2016,ACF_San_20160130,NFI,,,100,,100,100,100,,,,71,,100,73,77,,,,,Ouham Pende,Koui,Koui,15.638319,6.996461
1672721321,03.10.2016,06.09.2016,07.09.2016,ACTED,Agoumar,2016,ACT_AGO_20160417,NFI - WASH,,,,,90,91,88,,,,,,54,58,79,,,,,Mbomou,Rafai,Rafai,23.917023,4.993979
308860065,31.10.2016,25.10.2016,27.10.2016,ACTED,Zabé,2016,ACT_BAK_20160122,NFI - WASH,,,96,,90,90,94,,,,72,,75,78,80,,,,,Mbomou,Bakouma,Bakouma,22.235056,5.908856
225214062,14.10.2015,23.09.2015,23.09.2015,SI,Botto,2015,SI_BOT_20150722,NFI,,,99,,95,100,100,,,,63,,47,17,82,,,,,Nana-Gribizi,Kaga-Bandoro,Botto,19.100667,6.975222
929842736,06.05.2016,19.03.2016,20.03.2016,ACF,Marali,2016,ACF_MAR_20151023,NFI - WASH,,,98,,89,96,99,,,,70,,71,66,82,,,,,Ouham,Bouca,,18.404156,6.036561
862718276,07.10.2016,01.09.2016,02.09.2016,ACF,Sabewa,2016,ACF_Sab_20160531,NFI,,,100,,100,100,100,,,,75,,78,75,82,,,,,Nana-Mambere,Bouar,Niem-Yelewa,14.982606,6.668017
437407752,23.06.2015,22.06.2015,23.06.2015,ACTED,Lihoto,2015,ACTED_LIH_20150206,NFI - WASH,,,95,,,48,99,,,,58,,,45,83,,,,,Ouaka,Kouango,Azengue-Mindou,20.15837,5.312277
