AlerteID,DateCreated,Partner,OCHA_village_v2,Prefecture,SousPrefecture,Commune,Latitude,Longitude,Nb_localites_affectes,Nature_choc,Pop_affectee_menages,Pop_affectee_individus,Pop_affectee_Deplaces,Pop_affectee_Retours,Pop_affectee_Communaute_hote,Pop_affectee_Autre,startDate,endDate,year
SOL_SCI_20180810,18.06.2019,SI,Scieurs,Nana-Gribizi,Mbres,Mbres,6.5431,19.826799,1,Violences,500,5000,Oui,Non,Non,Non,18.06.2019,18.06.2019,2019
SOL_KAB_20180827,18.06.2019,SI,Kabo,Ouham,Kabo,Sido,7.689,18.622999,1,Catastrophe naturelle,2245,11225,Non,Non,Oui,Non,18.06.2019,18.06.2019,2019
SOL_BLA_20190220,18.06.2019,SI,Blakadja,Nana-Gribizi,Mbres,Mbres,6.675782,19.618208,12,Violences,453,2265,Non,Oui,Non,Non,18.06.2019,18.06.2019,2019
SOL_NGO_20190611,12.06.2019,SI,Ngounzende,Nana-Gribizi,Kaga-Bandoro,Grivai-Pamia,7.027,19.303699,1,Violences,85,425,Oui,Non,Non,Non,12.06.2019,12.06.2019,2019
SOL_BEH_20190611,12.06.2019,SI,Behili 1,Ouham,Kabo,Sido,7.8569,18.1108,11,Autre,750,3750,Non,Oui,Non,Non,12.06.2019,12.06.2019,2019
SOL_KPO_20190304,05.06.2019,SI,Kpokpo 1,Nana-Gribizi,Kaga-Bandoro,Botto,7.033634,19.138823,2,Violences,538,2690,Oui,Non,Oui,Non,05.06.2019,05.06.2019,2019
ACF_YAN_20190529,29.05.2019,ACF,Yankian,Nana-Mambere,Bouar,Herman-Brousse,6.3465,15.7617,1,Violences,100,500,Oui,Non,Non,Non,29.05.2019,29.05.2019,2019
SOL_DAK_20190521,29.05.2019,SI,Dakoyo,Ouham,Batangafo,Bede,7.475985,18.143753,5,Violences,1534,9204,Non,Oui,Non,Non,29.05.2019,29.05.2019,2019
ACT_MOB_20190509,29.05.2019,ACTED,Mobaye,Basse-Kotto,Mobaye,Mobaye,4.325058,21.179085,3,Violences,92,460,Oui,Non,Non,Non,29.05.2019,29.05.2019,2019
SOL_BAD_20190311,29.05.2019,SI,Badia,Nana-Gribizi,Kaga-Bandoro,Ndenga,6.7343,19.114599,2,Violences,1815,9075,Non,Oui,Non,Non,29.05.2019,29.05.2019,2019
SOL_BOL_20190521,29.05.2019,SI,Bolhom 1,Ouham,Batangafo,Ouassi,7.217051,18.323984,7,Autre,750,4021,Non,Oui,Non,Non,29.05.2019,29.05.2019,2019
ACF_BOH_20190522,28.05.2019,ACF,Bohong,Ouham Pende,Bocaranga,Bocaranga,6.49474,15.650623,5,Violences,1000,5000,Oui,Non,Non,Non,28.05.2019,28.05.2019,2019
ACF_KOU_20190522,28.05.2019,ACF,Koundjili,Ouham Pende,Paoua,Paoua,7.2267,16.122101,3,Violences,500,2500,Oui,Non,Non,Non,28.05.2019,28.05.2019,2019
ACT_POU_20190221,28.05.2019,ACTED,Mbo-Pouloubou,Basse-Kotto,Mingala,Kotto,5.1262,21.639299,1,Catastrophe naturelle,488,2440,Non,Non,Oui,Non,28.05.2019,28.05.2019,2019
ACT_GUI_20190514,27.05.2019,ACTED,Guenekoumba,Haut-Mbomou,Zemio,Zemio,5.093,24.585199,2,Autre,106,528,Non,Oui,Non,Non,27.05.2019,27.05.2019,2019
SOL_AMO_20190430,07.05.2019,SI,Amou,Kemo,Sibut,Ngoumbele,5.69437,19.291161,5,Violences,800,4000,Non,Non,Non,Non,07.05.2019,07.05.2019,2019
ACT_PEN_20190424,06.05.2019,ACTED,Banga 2,Ouaka,Kouango,Azengue-Mindou,5.084103,20.06407,1,Violences,,,Oui,Non,Non,Non,06.05.2019,06.05.2019,2019
ACF_BOZ_20190424,06.05.2019,ACF,Bozoum,Ouham Pende,Bozoum,Bozoum,6.3186,16.3709,1,Autre,275,1075,Non,Non,Oui,Non,06.05.2019,06.05.2019,2019
ACF_LOK_20190423,06.05.2019,ACF,Lokoti-Yaliwen,Nana-Mambere,Baboua,Baboua,5.8156,14.9316,2,Violences,500,3000,Oui,Non,Oui,Non,06.05.2019,06.05.2019,2019
ACF_ZOU_20190407,18.04.2019,ACF,Zoukombo,Nana-Mambere,Baboua,Baboua,5.8381,14.6925,1,Violences,158,788,Oui,Non,Non,Non,18.04.2019,18.04.2019,2019
SOL_DOU_20180403,10.04.2019,SI,Gribinguie 1,Nana-Gribizi,Kaga-Bandoro,Kaga-Bandoro,7.015678,19.187344,2,Violences,300,1500,Oui,Oui,Non,Non,10.04.2019,10.04.2019,2019
SOL_NGO_20190327,30.03.2019,SI,Ngoumourou,Nana-Gribizi,Kaga-Bandoro,Nana-Outa,7.151212,18.977051,1,Autre,500,2500,Non,Oui,Non,Non,30.03.2019,30.03.2019,2019
ACT_BOU_20190327,29.03.2019,ACTED,Boulangba,Basse-Kotto,Mobaye,Mbeima,4.468794,21.134697,1,Violences,167,40000,Non,Non,Non,Non,29.03.2019,29.03.2019,2019
ACT_ZEM_20190308,29.03.2019,ACF,Bezere,Ouham Pende,Ngaoundaye,Kodi,7.103745,15.524087,2,Autre,582,2660,Non,Oui,Oui,Oui,29.03.2019,29.03.2019,2019
ACF_KOU_20190321,25.03.2019,ACF,Kounde,Nana-Mambere,Baboua,Kounde,6.1074,14.634,3,Violences,205,1024,Oui,Non,Non,Non,25.03.2019,25.03.2019,2019
ACF_KEL_20190322,25.03.2019,ACF,Kella Doukou,Nana-Mambere,Bouar,Herman-Brousse,6.137952,15.53115,5,Violences,381,1907,Oui,Non,Non,Non,25.03.2019,25.03.2019,2019
ACF_,25.03.2019,ACF,Silambi,Ouham,Markounda,Nana Markounda,7.971194,17.68598,4,Autre,200,1000,Non,Oui,Non,Non,25.03.2019,25.03.2019,2019
ACF_GBA_20190126,20.03.2019,ACTED,Pombolo,Mbomou,Gambo,Gambo,4.3799,22.2994,2,Autre,3042,15206,Non,Oui,Oui,Non,20.03.2019,20.03.2019,2019
ACF_,19.03.2019,ACF,Zaorossoungou,Mambere-Kadei,Gadzi,Topia,5.0429,16.220699,1,Autre,80,400,Non,Oui,Non,Non,19.03.2019,19.03.2019,2019
ACT_RAF_20190312,12.03.2019,ACTED,Rafai,Mbomou,Rafai,Rafai,4.9694,23.933399,2,Violences,1178,5496,Oui,Non,Non,Non,12.03.2019,12.03.2019,2019
SOL_KPO_20190304,11.03.2019,SI,Kpokpo 1,Nana-Gribizi,Kaga-Bandoro,Botto,7.033634,19.138823,2,Violences,538,1418,Oui,Non,Oui,Non,11.03.2019,11.03.2019,2019
ACF_NDO_20190306,11.03.2019,ACF,Ndoumbou,Ouham,Bouca,Ouham Fafa,6.827492,17.97332,1,Violences,92,460,Oui,Non,Non,Non,11.03.2019,11.03.2019,2019
SI_,11.03.2019,SI,Badia,Nana-Gribizi,Kaga-Bandoro,Ndenga,6.7343,19.114599,2,Violences,1815,9075,Non,Oui,Non,Non,11.03.2019,11.03.2019,2019
