SiteId,DateCreated,startDate,endDate,Partner,OCHA_village_v2,Axe,AlerteID,Nb_localités_affectés,Menage_deplaces,Individus_deplaces,Menage_retournes,Individus_retournes,Menages_acceuil,Individus_acceuil,individus_communaute_hote,menages_communaute_hote,Date_rapport_envoyé_CoPil,Score_NFI,X_de_menages_vivant_ds_un_abris_en_dessous_des_standard,X_des_menages_ayant_acces_a_une_latrine_hygienique,X_des_menages_avec_un_source_eau_potable_amelioree,Taux_diarrhee_chez_les_enfants_de_moins_de_5_ans_..._au_cours_des_2_dernieres_semaines,Score_Consommation_alimentaire,X_score_de_Consommation_alimentaire_Acceptable,X_score_de_Consommation_alimentaire_Limite,X_score_de_Consommation_alimentaire_Pauvre,X_d.ecole_fonctionnelles,MSAcount,Population_affectees,Status_Complete,Status_Prevu,Status_En_cours,Status_En_attente,Status_Annule,Delai_INT_Disponibilite,Delai_INT_Coordination_humanitaire,Delai_INT_Defaillance_BD,Delai_INT_Intervention_multiple,Delai_INT_NA,Delai_INT_Autre,Delai_EXT_Necessite_reevaluer,Delai_EXT_Acces_logistique,Delai_EXT_Suspension_logistique,Delai_EXT_Acceptance_parties_prenantes,Equipe RRM ciblé ou touché par un incident pendant la MSA,Delai_EXT_Acces_securitaire,Delai_EXT_Suspension_securitaire,Delai_EXT_NA,Delai_EXT_Autre,Annulation_Conversion_MEX,Annulation_Planification,Annulation_Autre,Annulation_NA,Status_Rapport_En cours,Status_Rapport_Envoye_CoPil,Recommandation_Intervention_NFI,Recommandation_Intervention_EAH,Recommandation_Pas_intervention,Recommandation_Intervention_Sante,Recommandation_Intervention_Protection,Recommandation_Securite_Alimentaire,Recommandation_Intervention_Education,Recommandation_Intervention_Logistique,Code_Prefecture,Prefecture,Code_SousPréfecture,SousPrefecture,Code_Commune,Commune,Code_Arrondissement,Arrondissement,Longitude,Latitude,year,month,startDate
441202902,27.02.2015,21.07.2014,21.07.2014,ACTED,Bambari,,ACTED_2014_07,,456,0,0,0,0,41486,,,,4.2,13,39,9,,,41,38,24,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Ouaka,,Bambari,,Bambari,,,20.654183,5.764845,2014,Juillet,21.07.2014
214778174,27.02.2015,23.07.2014,24.07.2014,ACF,Boya,,ACF_2014_09,,0,2992,0,0,0,832,,,,4.5,14,0,14,,,5,30,65,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Ouham,,Bouca,,Lady Gbawi,,,18.540138,6.931892,2014,Juillet,23.07.2014
1053538439,27.02.2015,23.07.2014,24.07.2014,PU-AMI,Zaorodinga,,PU-AMI_2014_01,,0,1491,0,0,0,11336,,,,4.0,0,1,28,,,59,40,1,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Mambere-Kadei,,Amada-Gaza,,Haute-Boumbe,,,15.229919,4.697984,2014,Juillet,23.07.2014
954858008,27.02.2015,23.07.2014,24.07.2014,SI,Farazala 2,,SI_2014_07,,552,0,0,0,0,4846,,,,4.5,16,9,85,,,1,14,85,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Ouham,,Kabo,,Ouaki,,,18.742014,7.381580,2014,Juillet,23.07.2014
940925763,28.02.2015,24.07.2014,25.07.2014,ACF,Bozakon,,ACF_2014_09,,,2992,,,,832,,,,4.5,14,0,14,,,5,30,65,,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,,Ouham,,Bouca,,Lady Gbawi,,,18.504728,6.952119,2014,Juillet,24.07.2014
757474160,27.02.2015,30.07.2014,30.07.2014,IRC,Koui,,IRC_2014_09,,0,10029,0,0,0,25958,,,,4.0,66,0,0,,,0,0,0,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Ouham Pende,,Koui,,Koui,,,15.453221,6.951955,2014,Juillet,30.07.2014
1173387721,27.02.2015,03.08.2014,06.08.2014,IRC,Ngaoundaye,,IRC_2014_99,,0,0,0,0,0,21569,,,,3.7,85,0,90,,,0,0,0,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Ouham Pende,,Ngaoundaye,,Mbili,,,15.258225,6.985813,2014,Août,03.08.2014
1795334318,27.02.2015,04.08.2014,04.08.2014,ACF,Bombere-Kota,,ACF_BOM_20140422,,0,0,0,0,76,399,,,,4.4,57,4,0,,,8,33,8,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Ouham,,Bossangoa,,Ben Zambe,,,17.548962,6.914322,2014,Août,04.08.2014
1926541355,27.02.2015,04.08.2014,06.08.2014,ACTED,Bila,,ACTED_2014_16,,283,5702,0,0,0,0,,,,4.3,20,47,13,,,12,46,43,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Kemo,,Mala,,Mala,,,19.546890,6.100629,2014,Août,04.08.2014
361959953,27.02.2015,10.08.2014,13.08.2014,SI,Kabo,,SI_2014_01,,298,0,0,0,0,30840,,,,4.5,0,48,89,9,,1,14,85,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Ouham,,Kabo,,Sido,,,18.623028,7.688983,2014,Août,10.08.2014
