"type","id","locationName","partnerName","activity","activityName","startDate","endDate","Individus_bénéficiaires_WASH_total","Individus_bénéficiaires_NFI_total","interventioncount","ménages_bénéficiaires_WASH_hote","individus_bénéficiaires_NFI_hote","NFI_Savons","Kits_NFI_hote","réhabilitation_de_forage_ou_source_d.eau","NFI_Baches_hote","NFI_Nattes","NFI_Bâches","NFI_Moustiquaires_déplacés","NFI_savon_déplacés","Kits_NFI_total","NFI_Moustiquaires","ménages_bénéficiaires_NFI_hôte","NFI_couvertures_hote","NFI_bidons_hote","NFI_bidons","Ménages_bénéficiaires_NFI_total","individus_bénéficiaires_NFI_déplacés","NFI_bidons_déplacés","NFI_savon_hote","NFI_Moustiquaires_hote","NFI_couvertures_déplacés","individus_bénéficiaires_WASH_déplacés","KITS_NFI_déplacés","ménages_bénéficiaires_WASH_total","NFI_Baches_déplacés","ménages_bénéficiaires_WASH_déplacés","individus_bénéficiaires_WASH_hote","NFI_Couvertures","ménages_bénéficiaires_NFI_déplacés","Sensibilisation_de_la_communauté_sur_les_bonnes_pratiques_d.hygiène.","NFI_Nattes_hote","NFI_nattes_déplacés","Redynamisation_du_comité_de_gestion_de_la_source_d.eau","NFI_Seau","NFI_Kit_cuisine_total","NFI_Vêtements_enfants_total","NFI_Vêtement_bébé","Abris","NFI_seau_déplacés","NFI_Kit_cuisine_déplacés","NFI_Vêtements_enfants_déplacés","sensibilisation_de_la_communauté_lavage_de_main","Nombres_de_blocs_de_latrines","nombres_de_latrines_installées","NFI_seau_hote","Mise_en_place_d.un_comité_de_gestion_des_latrines","Vivres_Plumpy_Sup","Vivres_Huile_2L","Kits_VIVRES","Vivres_CSB._12.5Kg","Vivres_Riz_25kg","NFI_Torche","Type_d.intervention.WASH","Type_d.intervention.NFI_WASH","Type_d.intervention.NFI","Type_d.intervention.NFI_WASH_Abris","Raison_pour_annulation.NA","Statut.Completé","Raison_pour_stand_by.NA","type.1","geo","X","Y","month","year","REGION_NOM","PREF_NOM","SPREF_NOM","COM_NOM","intervention_type"
"Feature","872205074","Kaga-Bandoro","SI","13327","INTERVENTION","2015-03-11","2015-03-13","0","5785","1e+09","0","0","6942","0","0","0","2314","531","2314","6942","0","2314","0","0","0","1157","1157","5785","1157","0","0","2314","0","0","0","531","0","0","2314","1157","0","0","2314","0","1157","1157","3471","0","0","1157","1157","3471","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"NFI",NA,"1","1","1","Point","6.992369,19.185733","19.185733","6.992369","2015-03","2015","Kagas","Nana-Gribizi","Kaga-Bandoro","Kaga-Bandoro","NFI"
"Feature","944830302","Boganangone","PU-AMI","13327","INTERVENTION","2014-08-15","2014-08-15","80","1750","1e+09","0","0","5400","0","0","0","720","360","0","0","360","0","0","0","0","360","360","0","0","0","0","0","0","0","0","0","0","0","720","0","0","0","0","0","360","360","336","118","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"NFI/WASH",NA,NA,"0","0","0","Point","4.69585277777778,17.1980666666667","17.1980666666667","4.69585277777778","2014-08","2014","Plateaux","Lobaye","Boganangone","Boganangone","NFI/WASH"
"Feature","945538549","Bozakon","ACF","13327","INTERVENTION","2014-08-23","2014-08-25","0","3313","1e+09","0","0","4164","0","0","0","1388","694","0","0","0","1388","0","0","0","1388","694","0","0","0","0","0","0","0","0","0","0","0","1388","0","0","0","0","0","0","558","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"NFI",NA,"0","0","0","Point","6.95437222222222,18.5099027777778","18.5099027777778","6.95437222222222","2014-08","2014","Yadé","Ouham","Bouca","Lady Gbawi","NFI"
"Feature","1098220660","Sibut","ACF","13327","INTERVENTION","2014-06-08","2014-06-09","0","1157","1e+09","0","0","1908","0","0","0","636","0","0","0","318","636","0","0","0","636","294","0","0","0","0","0","0","0","0","0","0","0","636","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"NFI",NA,"0","0","0","Point","5.73568888888889,19.0860416666667","19.0860416666667","5.73568888888889","2014-06","2014","Kagas","Kémo","Sibut","Sibut","NFI"
"Feature","1141089873","Sabewa","ACF","13327","INTERVENTION","2015-03-05","2015-03-05","2041","2041","1e+09","250","1225","2550","250","1","0","350","175","350","1050","425","350","250","0","0","350","425","816","350","1500","0","350","816","175","425","175","175","1225","350","175","1","0","350","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",NA,"NFI/WASH",NA,NA,"1","1","1","Point","6.668017,14.982606","14.982606","6.668017","2015-03","2015","Equateur","Nana-Mambéré","Bouar","Niem-Yelewa","NFI/WASH"
"Feature","1149390357","Grimari","ACTED","13327","INTERVENTION","2014-06-12","2014-06-13","0","0","1e+09","0","0","9968","0","0","0","2492","0","0","0","0","0","0","0","0","1777","1246","0","0","0","0","0","0","0","0","0","0","0","2492","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"NFI",NA,"0","0","0","Point","5.74136666666667,20.0552","20.0552","5.74136666666667","2014-06","2014","Kagas","Ouaka","Grimari","Grimari","NFI"
"Feature","1175676960","Bozélé","ACF","13327","INTERVENTION","2014-06-19","2014-06-19","0","705","1e+09","0","0","690","0","0","0","230","115","0","0","0","230","0","0","0","230","115","0","0","0","0","0","0","0","0","0","0","0","230","0","0","0","0","0","0","115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"NFI",NA,"0","0","0","Point","6.64559722222222,17.42835","17.42835","6.64559722222222","2014-06","2014","Yadé","Ouham","Nana-Bakassa","Nana-Bakassa","NFI"
"Feature","1258318500","Yaloké","ACF","13327","INTERVENTION","2014-05-01","2014-05-10","633","633","1e+09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","WASH",NA,NA,NA,"0","0","0","Point","5.31262777777778,17.1006916666667","17.1006916666667","5.31262777777778","2014-05","2014","Plateaux","Ombella M'Poko","Yaloké","Yaloké","WASH"
"Feature","1367826435","Mann","IRC","13327","INTERVENTION","2014-06-28","2014-07-31","4921","4921","1e+09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1334","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","WASH",NA,NA,NA,"0","0","0","Point","7.37591666666667,15.4850583333333","15.4850583333333","7.37591666666667","2014-06","2014","Yadé","Ouham Pendé","Ngaoundaye","Kodi","WASH"
"Feature","1381250290","Bofire","ACF","13327","INTERVENTION","2015-03-10","2015-03-14","2528","3333","1e+09","56","1087","3096","192","0","0","1032","700","1032","3096","708","1224","192","0","0","516","708","2246","516","0","192","1032","2246","516","572","700","516","282","1032","516","3","0","1032","0","516","0","0","0","0","516","0","0","3","11","33","0","3","0","0","0","0","0","0",NA,"NFI/WASH",NA,NA,"1","1","1","Point","6.71861,17.766026","17.766026","6.71861","2015-03","2015","Yadé","Ouham","Bossangoa","Ben Zambé","NFI/WASH"
"Feature","1495240485","Banbari","ACTED","13327","INTERVENTION","2014-07-14","2014-07-18","0","0","1e+09","0","0","9675","0","0","0","3870","1935","0","0","1935","1935","0","0","0","1935","2166","0","0","0","0","0","0","0","0","0","0","0","3870","0","0","0","0","0","1935","1935","0","0","0","0","0","0","0","0","0","0","0","1935","1935","1935","1935","1935","0",NA,NA,"NFI",NA,"0","0","0","Point","5.75144444444444,20.6671722222222","20.6671722222222","5.75144444444444","2014-07","2014","Kagas","Ouaka","Bambari","Bambari","NFI"
"Feature","1564567191","Kabo","SI","13327","INTERVENTION","2014-04-25","2014-04-30","297","297","1e+09","0","0","1240","0","0","0","248","124","0","0","124","248","0","0","0","248","124","0","0","0","0","0","0","0","0","0","0","0","248","0","0","0","0","0","124","124","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,"NFI/WASH/Abri","0","0","0","Point","7.68898333333333,18.6230277777778","18.6230277777778","7.68898333333333","2014-04","2014","Yadé","Ouham","Kabo","Sido","NFI/WASH/Abri"
"Feature","1567704880","Bouca","ACF","13327","INTERVENTION","2014-05-28","2014-05-30","3350","7323","1e+09","0","0","7800","0","0","0","2600","1300","0","0","2600","2600","0","0","0","2600","1300","0","0","0","0","0","0","0","0","0","0","0","2600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"NFI/WASH",NA,NA,"0","0","0","Point","6.51158055555556,18.2779888888889","18.2779888888889","6.51158055555556","2014-05","2014","Yadé","Ouham","Bouca","Bouca Bobo","NFI/WASH"
"Feature","1618795228","Damara","ACTED","13327","INTERVENTION","2014-04-11","2014-04-25","0","880","1e+09","0","0","13200","0","0","0","1750","620","0","0","0","1750","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1750","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"NFI/WASH",NA,NA,"0","0","0","Point","4.95766944444444,18.6962194444444","18.6962194444444","4.95766944444444","2014-04","2014","Plateaux","Ombella M'Poko","Damara","Damara","NFI/WASH"
"Feature","1756729082","Ngoutéré","IRC","13327","INTERVENTION","2014-06-07","2014-06-07","0","67","1e+09","0","0","78","0","0","0","26","13","0","0","13","26","0","0","0","13","13","0","0","0","0","0","0","0","0","0","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"NFI",NA,"0","0","0","Point","6.77181944444444,15.8982472222222","15.8982472222222","6.77181944444444","2014-06","2014","Yadé","Ouham Pendé","Bocaranga","Péndé","NFI"
"Feature","1888755627","Kaga-Bandoro","SI","13327","INTERVENTION","2014-06-07","2014-07-11","0","0","1e+09","0","0","16519","0","0","0","5322","2661","0","0","2661","2661","0","0","0","5322","2661","0","0","0","0","0","0","0","0","0","0","0","5322","0","0","0","0","0","2661","553","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"NFI",NA,"0","0","0","Point","6.99236944444444,19.1857333333333","19.1857333333333","6.99236944444444","2014-06","2014","Kagas","Nana-Gribizi","Kaga-Bandoro","Kaga-Bandoro","NFI"
"Feature","2040360374","Kabo","SI","13327","INTERVENTION","2014-08-22","2014-08-22","0","0","1e+09","0","0","1602","0","0","0","534","267","0","0","267","267","0","0","0","267","267","0","0","0","0","0","0","0","0","0","0","0","534","0","0","0","0","0","267","267","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"NFI",NA,"0","0","0","Point","7.69704166666667,18.6252583333333","18.6252583333333","7.69704166666667","2014-08","2014","Yadé","Ouham","Kabo","Sido","NFI"
"Feature","2053797164","Gbabiro","ACF","13327","INTERVENTION","2015-03-03","2015-03-06","1892","1892","1e+09","60","450","2232","60","1","0","624","312","624","1872","372","624","60","0","0","624","372","1442","624","360","0","624","1442","312","372","312","312","450","624","312","1","0","624","1","0","0","0","0","0","0","0","0","1","6","18","0","0","0","0","0","0","0","0",NA,"NFI/WASH",NA,NA,"1","1","1","Point","6.849218,17.69758","17.69758","6.849218","2015-03","2015","Yadé","Ouham","Bossangoa","Ben Zambé","NFI/WASH"
"Feature","2143562893","Kaké","IRC","13327","INTERVENTION","2014-06-27","2014-07-15","0","0","1e+09","0","0","10362","0","0","0","1727","233","0","0","0","2978","0","0","0","1727","1727","0","0","0","0","0","0","0","0","0","0","0","3216","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1727",NA,NA,"NFI",NA,"0","0","0","Point","6.83371666666667,15.8155055555556","15.8155055555556","6.83371666666667","2014-06","2014","Yadé","Ouham Pendé","Bocaranga","Péndé","NFI"
